timestamp,run_id,epoch,episode,total_episode_count,state_encoder_version,voxel_channels,has_global_vector,global_feature_count,total_actions,invalid_actions,invalid_pct,blocks_placed,acc_step_reward,step_invalid_penalty,step_base_placement,step_socket_connection,step_disconnected_penalty,step_stability_reward,step_floating_penalty,step_type_bonus,step_foundation_bonus,step_spatial_compactness,step_spatial_scattered_penalty,step_growth_reward,step_growth_streak_bonus,step_eval_delta_reward,step_no_growth_penalty,step_invalid_streak_penalty,step_stop_transition_reward,step_stop_early_penalty,step_stop_unbuilt_penalty,step_stop_underbuild_penalty,step_stop_clamp_adjustment,final_eval_reward,final_raw_score,final_logistics_bonus,final_raid_bonus,final_connectivity_bonus,final_tc_enclosed_bonus,final_early_stop_penalty,final_fragment_penalty,final_tc_penalty,final_failure_penalty,eval_logistics_score,eval_cost_score,eval_raid_score,eval_working_area_score,eval_safe_zone_score,raid_sulfur_to_tc,component_count,main_component_blocks,tc_present,tc_enclosed,total_reward,epsilon,stop_reason,max_floor,placed_floor_distribution,rejected_total,rejected_no_support,rejected_collision,rejected_bad_socket,rejected_out_of_bounds,pruned_types,dead_tiles,dead_rotations,rejected_rot_aim,rejected_proximity,encoder_time_ms,global_encoder_time_ms,global_has_nan,global_has_infinity,global_feat_cnt,global_feat_mean,global_feat_max,global_feat_nonzero
2026-05-06 23:03:40,run_1778097755423,1,1,1,v3,16,true,32,15,0,0.0,14,6.7440,0.0000,1.1200,0.4500,-1.4000,0.5440,0.0000,0.5500,0.5500,0.4200,-0.1800,1.5400,3.1500,0.0000,0.0000,0.0000,-2.5574,-2.2974,-0.2600,0.0000,0.0000,-8.6718,0.0000,0.0000,0.0000,0.0000,0.0000,-2.2974,-5.8780,-0.4964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,8,4,true,false,-1.9278,1.00000,AGENT_STOP,1,F0:12|F1:2,726,0,0,0,0,0,0,0,0,726,57,0,false,false,32,0.2965,1.0000,19
2026-05-06 23:03:41,run_1778097755423,1,2,2,v3,16,true,32,31,0,0.0,31,28.4793,0.0000,2.4000,2.7900,-1.6000,1.1032,0.0000,0.7000,0.5500,1.5400,-0.1800,3.4100,13.9500,3.8161,0.0000,0.0000,-0.7642,-0.6742,-0.0900,0.0000,0.0000,22.3419,25.4409,8.3333,1.3022,0.0000,1.5000,-0.6742,-12.8053,-0.7551,0.0000,0.8333,0.2124,0.0434,0.1667,0.1000,1575,9,13,true,true,50.8212,0.99981,AGENT_STOP,2,F0:19|F1:11|F2:1,2007,0,0,0,0,0,0,0,0,2007,41,0,false,false,32,0.3208,1.0000,19
2026-05-06 23:03:41,run_1778097755423,1,3,3,v3,16,true,32,8,0,0.0,7,2.8600,0.0000,0.5600,0.1800,-0.6000,0.2800,0.0000,0.4000,0.4000,0.2100,-0.1800,0.7700,0.8400,0.0000,0.0000,0.0000,-3.9195,-3.0895,-0.3300,-0.5000,0.0000,-6.7640,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0895,-3.3790,-0.2955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4,2,true,false,-3.9040,0.99963,AGENT_STOP,0,F0:7,2098,0,0,0,0,0,0,0,0,2098,5,0,false,false,32,0.2654,1.0000,15
2026-05-06 23:03:42,run_1778097755423,1,4,4,v3,16,true,32,9,0,0.0,8,4.0160,0.0000,0.6400,0.5400,-0.4000,0.2960,0.0000,0.5500,0.2600,0.3500,-0.1800,0.8800,1.0800,0.0000,0.0000,0.0000,-3.2940,-2.9740,-0.3200,0.0000,0.0000,-4.3146,0.0000,0.0000,0.0000,0.0000,0.0000,-2.9740,-1.2674,-0.0732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,3,6,true,false,-0.2986,0.99944,AGENT_STOP,1,F0:5|F1:3,5311,0,0,0,0,0,0,0,0,5311,7,0,false,false,32,0.2932,1.0000,18
2026-05-06 23:03:43,run_1778097755423,1,5,5,v3,16,true,32,9,0,0.0,8,3.5920,0.0000,0.6400,0.5400,-0.4000,0.3120,0.0000,0.1500,0.4000,0.3500,-0.3600,0.8800,1.0800,0.0000,0.0000,0.0000,-3.2940,-2.9740,-0.3200,0.0000,0.0000,-6.5980,0.0000,0.0000,0.0000,0.0000,0.0000,-2.9740,-3.6240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1,3,4,false,false,-3.0060,0.99925,AGENT_STOP,1,F0:7|F1:1,4815,0,0,0,0,0,0,0,0,4815,4,0,false,false,32,0.2264,1.0000,16
2026-05-06 23:03:43,run_1778097755423,1,6,6,v3,16,true,32,12,0,0.0,11,3.3000,0.0000,0.8800,0.0900,-1.6000,0.4400,0.0000,0.1500,0.5500,0.1400,-0.5400,1.2100,1.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.6990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.6990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1,9,2,false,false,-23.3990,0.99906,MASK_EMPTY,0,F0:11,4153,0,0,0,0,0,2,0,0,4151,10,0,false,false,32,0.1974,1.0000,14
2026-05-06 23:03:44,run_1778097755423,1,7,7,v3,16,true,32,13,0,0.0,12,6.7180,0.0000,0.9600,0.5400,-0.4000,0.4080,0.0000,0.7000,0.4000,0.6300,-0.1800,1.3200,2.3400,0.0000,0.0000,0.0000,-2.7997,-2.5197,-0.2800,0.0000,0.0000,-5.7759,0.0000,0.0000,0.0000,0.0000,0.0000,-2.5197,-2.9780,-0.2783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,3,7,true,false,0.9421,0.99888,AGENT_STOP,1,F0:8|F1:4,6723,0,0,0,0,0,3,0,0,6720,12,0,false,false,32,0.2759,1.0000,19
2026-05-06 23:03:45,run_1778097755423,1,8,8,v3,16,true,32,18,0,0.0,17,9.1920,0.0000,1.3600,0.9900,-1.4000,0.5920,0.0000,0.5500,0.5500,0.6300,-0.5400,1.8700,4.5900,0.0000,0.0000,0.0000,-2.2007,-1.9707,-0.2300,0.0000,0.0000,-9.1967,0.0000,0.0000,0.0000,0.0000,0.0000,-1.9707,-6.8566,-0.3694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,7,11,true,false,-0.0047,0.99869,AGENT_STOP,1,F0:11|F1:6,8629,0,0,0,0,0,3,0,0,8626,18,0,false,false,32,0.2687,1.0000,20
2026-05-06 23:03:46,run_1778097755423,1,9,9,v3,16,true,32,8,0,0.0,7,3.4020,0.0000,0.5600,0.4500,-0.2000,0.2720,0.0000,0.4000,0.1400,0.3500,-0.1800,0.7700,0.8400,0.0000,0.0000,0.0000,-3.9195,-3.0895,-0.3300,-0.5000,0.0000,-4.6762,0.0000,0.0000,0.0000,0.0000,0.0000,-3.0895,-1.4410,-0.1457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,4,true,false,-1.2742,0.99850,AGENT_STOP,1,F0:6|F1:1,3394,0,0,0,0,0,0,0,0,3394,9,0,false,false,32,0.3011,1.0000,18
2026-05-06 23:03:46,run_1778097755423,1,10,10,v3,16,true,32,6,0,0.0,5,2.1500,0.0000,0.4000,0.1800,-0.2000,0.2000,0.0000,0.4000,0.1400,0.2100,-0.1800,0.5500,0.4500,0.0000,0.0000,0.0000,-4.0000,-3.3226,-0.3500,-0.5000,0.1726,-8.3226,0.0000,0.0000,0.0000,0.0000,0.0000,-3.3226,0.0000,0.0000,-5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1,0,0,false,false,-6.1726,0.99832,AGENT_STOP,0,F0:5,3313,0,0,0,0,0,0,0,0,3313,7,0,false,false,32,0.2803,1.0000,15
